Posted Date,Skill,Company,Workplace,Company Type,Company Industry,Company Size,Country
2024-08-28 09:21:20.095789,Software Architect,Bosch Global Software Technologies Company Limited,Hybrid,IT Product,IT Services and IT Consulting,1000+,Germany
2024-08-28 09:21:20.095789,Python,ITviec,Hybrid,IT Product,Software Products and Web Services,51-150,Japan
2024-08-28 09:21:20.095789,Software Architect,Bosch Global Software Technologies Company Limited,At office,IT Product,IT Services and IT Consulting,1000+,Germany
2024-08-28 09:21:20.095789,Tester,Bosch Global Software Technologies Company Limited,At office,IT Product,IT Services and IT Consulting,1000+,Germany
2024-08-28 09:21:20.095789,ReactJS,Unisofts,At office,IT Product,"AI, Blockchain and Deep Tech Services",51-150,Vietnam
2024-08-28 09:21:20.095789,Rust,Unisofts,At office,IT Product,"AI, Blockchain and Deep Tech Services",51-150,Vietnam
2024-08-28 09:21:20.095789,DevOps,Bosch Global Software Technologies Company Limited,At office,IT Product,IT Services and IT Consulting,1000+,Germany
2024-08-28 09:21:20.095789,QA QC,Noveo Vietnam,Hybrid,IT Outsourcing,Software Development Outsourcing,1-50,France
2024-08-28 09:21:20.095789,Project Manager,Techcombank,At office,IT Product,Banking,1000+,Vietnam
2024-08-28 09:21:20.095789,Solution Architect,Techcombank,At office,IT Product,Banking,1000+,Vietnam
2024-08-28 09:21:20.095789,NodeJS,6P Capital Management,At office,IT Product,Financial Services,1-50,Vietnam
2024-08-28 09:21:20.095789,Python,6P Capital Management,At office,IT Product,Financial Services,1-50,Vietnam
2024-08-28 09:21:20.095789,Golang,Trusting Social,At office,IT Service and IT Consulting,Financial Services,301-500,Singapore
2024-08-28 09:21:20.095789,C++,FuelCloud,At office,IT Product,Software Products and Web Services,1-50,United States
2024-08-28 09:21:20.095789,QA QC,Ewoosoft Vietnam,At office,IT Product,IT Services and IT Consulting,1-50,Vietnam
2024-08-28 09:21:20.095789,Manager,NAB Innovation Centre Vietnam,At office,IT Product,Banking,1000+,Australia
2024-08-28 09:21:20.095789,Software Architect,MB Bank,At office,IT Product,N/A,1000+,Vietnam
2024-08-28 09:21:20.095789,IT Support,VNT Invest Group,At office,Non-IT,Financial Services,1-50,Vietnam
2024-08-28 09:21:20.095789,Computer Vision,Got It,At office,IT Product,Software Products and Web Services,151-300,Vietnam
2024-08-28 09:21:20.095789,IT Support,"Esoft Vietnam., Ltd",At office,IT Service and IT Consulting,IT Services and IT Consulting,501-1000,Vietnam
2024-08-28 09:21:20.095789,Android,TP Entertainment,At office,IT Product,IT Services and IT Consulting,51-150,Vietnam
2024-08-28 09:21:20.095789,Software Architect,ABBANK,At office,Non-IT,Banking,1000+,Vietnam
2024-08-28 09:21:20.095789,English,RAKSUL Vietnam,Hybrid,IT Product,Software Products and Web Services,51-150,Japan
2024-08-28 09:21:20.095789,System Admin,BYCN IT Vietnam,Hybrid,IT Product,Software Products and Web Services,51-150,France
2024-08-28 09:21:20.095789,Java,Chalasoft,At office,IT Outsourcing,N/A,1-50,Vietnam
2024-08-28 09:21:20.095789,Product Owner,Intrepid Group Asia,Hybrid,IT Product,E-commerce,51-150,Singapore
2024-08-28 09:21:20.095789,.NET,Home Credit Vietnam,Hybrid,IT Product,Financial Services,1000+,Czechia
2024-08-28 09:21:20.095789,C#,TecAlliance Vietnam,Hybrid,IT Product,Software Products and Web Services,51-150,Germany
2024-08-28 09:21:20.095789,Product Manager,"MONEY FORWARD VIETNAM CO.,LTD",Hybrid,IT Product,Financial Services,301-500,Japan
2024-08-28 09:21:20.095789,TypeScript,Fullerton Health,At office,IT Product,Healthcare,51-150,Singapore
2024-08-28 09:21:20.095789,Java,Sacombank,At office,Non-IT,Banking,1000+,Vietnam
