Posted Date,Main Skill 1,Main Skill 2,Main Skill 3,Company,Workplace,Address,Company Type,Company Industry,Company Size,Country,Working Days,Overtime Policy
2024-08-29 09:21:20.095789,Tester,QA QC,NULL,Tyme,Hybrid,Ha Noi,IT Service and IT Consulting,IT Services and IT Consulting,501-1000,Poland,Monday - Friday,No OT
2024-08-29 09:21:20.095789,Tester,QA QC,NULL,"YAMAHA ROBOTICS ENGINEERING ASIA CO., LTD",Hybrid,Ho Chi Minh,IT Service and IT Consulting,IT Services and IT Consulting,501-1000,Poland,Monday - Friday,No OT
2024-08-29 09:21:20.095789,IT Support,System Engineer,Networking,KILALA Communication,At office,Ho Chi Minh,IT Product,"Media, Advertising and Entertainment",1-50,Japan,Monday - Friday,No OT
2024-08-29 09:21:20.095789,Angular,CSS,TypeScript,Enlab Software,At office,Da Nang,IT Service and IT Consulting,IT Services and IT Consulting,51-150,Vietnam,Monday - Friday,No OT
2024-08-29 09:21:20.095789,Python,PHP,NULL,"rakumo Co., Ltd",At office,Ho Chi Minh,IT Outsourcing,Software Development Outsourcing,51-150,Japan,Monday - Friday,Extra salary for OT
2024-08-29 09:21:20.095789,C++,OOP,Linux,LG Electronics Development Vietnam (LGEDV),At office,Ha Noi,IT Product,Software Products and Web Services,1000+,South Korea,Monday - Friday,
2024-08-29 09:21:20.095789,Java,Python,MySQL,Giao Hàng Tiết Kiệm,At office,Ha Noi,IT Product,"Transportation, Logistics and Warehouse",1000+,Vietnam,Monday - Saturday,No OT
2024-08-29 09:21:20.095789,NodeJS,AWS,Java,Qualgo Technologies,At office,Ho Chi Minh,IT Product,Cyber Security,151-300,Vietnam,Monday - Friday,No OT
2024-08-29 09:21:20.095789,JavaScript,NodeJS,ReactJS,CÔNG TY TNHH WELAST,At office,Ha Noi,Non-IT,E-commerce,1-50,Vietnam,Monday - Saturday,No OT
2024-08-29 09:21:20.095789,Java,Scrum,Automation Test,KMS Healthcare,Hybrid,Ho Chi Minh - Da Nang,IT Outsourcing,Healthcare,301-500,United States,Monday - Friday,No OT
2024-08-29 09:21:20.095789,JavaScript,NodeJS,VueJS,AZoom VietNam,At office,Da Nang - Ha Noi,IT Product,"Real Estate, Property and Construction",51-150,Japan,Monday - Friday,No OT
2024-08-29 09:21:20.095789,JavaScript,NodeJS,VueJS,HSC,At office,Ho Chi Minh,IT Product,"Real Estate, Property and Construction",51-150,Japan,Monday - Friday,No OT
2024-08-29 09:21:20.095789,JavaScript,NodeJS,VueJS,Ateam Việt Nam,At office,Ho Chi Minh,IT Product,"Real Estate, Property and Construction",51-150,Japan,Monday - Friday,No OT
2024-08-29 09:21:20.095789,JavaScript,NodeJS,VueJS,GaneshAID Consultancy Company Limited,At office,Ha Noi,IT Product,"Real Estate, Property and Construction",51-150,Japan,Monday - Friday,No OT
2024-08-29 09:21:20.095789,JavaScript,NodeJS,VueJS,HCL Vietnam Company Limited,Hybrid,Ho Chi Minh,IT Product,"Real Estate, Property and Construction",51-150,Japan,Monday - Friday,No OT
2024-08-29 09:21:20.095789,JavaScript,NodeJS,VueJS,Techcombank,At office,Ha Noi,IT Product,"Real Estate, Property and Construction",51-150,Japan,Monday - Friday,No OT
2024-08-29 09:21:20.095789,JavaScript,NodeJS,VueJS,Offspring Digital Viet Nam,At office,Ha Noi,IT Product,"Real Estate, Property and Construction",51-150,Japan,Monday - Friday,No OT
2024-08-29 09:21:20.095789,JavaScript,NodeJS,VueJS,ONE Tech Stop Vietnam Company Ltd,At office,Da Nang,IT Product,"Real Estate, Property and Construction",51-150,Japan,Monday - Friday,No OT
2024-08-29 09:21:20.095789,JavaScript,NodeJS,VueJS,ONE Tech Stop Vietnam Company Ltd,At office,Da Nang,IT Product,"Real Estate, Property and Construction",51-150,Japan,Monday - Friday,No OT
2024-08-29 09:21:20.095789,JavaScript,NodeJS,VueJS,ONE Tech Stop Vietnam Company Ltd,At office,Da Nang,IT Product,"Real Estate, Property and Construction",51-150,Japan,Monday - Friday,No OT
2024-08-29 09:21:20.095789,JavaScript,NodeJS,VueJS,Techcombank,At office,Ha Noi - Ho Chi Minh,IT Product,"Real Estate, Property and Construction",51-150,Japan,Monday - Friday,No OT
2024-08-29 09:21:20.095789,JavaScript,NodeJS,VueJS,SSI Securities Corporation,At office,Ha Noi,IT Product,"Real Estate, Property and Construction",51-150,Japan,Monday - Friday,No OT
2024-08-29 09:21:20.095789,JavaScript,NodeJS,VueJS,FPT Software,At office,Others,IT Product,"Real Estate, Property and Construction",51-150,Japan,Monday - Friday,No OT
2024-08-29 09:21:20.095789,JavaScript,NodeJS,VueJS,Nimble,Hybrid,Ho Chi Minh - Da Nang,IT Product,"Real Estate, Property and Construction",51-150,Japan,Monday - Friday,No OT
2024-08-29 09:21:20.095789,Wordpress,English,NULL,Employment Hero,Remote,Ho Chi Minh,IT Product,Software Products and Web Services,501-1000,Australia,Monday - Friday,No OT
2024-08-29 09:21:20.095789,Ruby on Rails,JavaScript,Golang,Nimble,Hybrid,Ho Chi Minh - Da Nang,IT Service and IT Consulting,IT Services and IT Consulting,51-150,Thailand,Monday - Friday,No OT
2024-08-29 09:21:20.095789,Automation Test,English,QA QC,Simpson Strong-Tie Vietnam,At office,Ho Chi Minh,IT Product,IT Services and IT Consulting,501-1000,United States,Monday - Friday,No OT
2024-08-29 09:21:20.095789,DevOps,AWS,Cloud,"MONEY FORWARD VIETNAM CO.,LTD",Hybrid,Ha Noi,IT Product,Financial Services,301-500,Japan,Monday - Friday,No OT
2024-08-29 09:21:20.095789,.NET,English,C#,Optimizely,At office,Ha Noi,IT Product,IT Services and IT Consulting,151-300,United States,Monday - Friday,No OT
2024-08-28 09:21:20.095789,Japanese,Agile,Manager,DYM VIET NAM,At office,Ho Chi Minh,IT Outsourcing,Healthcare,51-150,Japan,Monday - Friday,No OT
2024-08-28 09:21:20.095789,Database,SQL,Oracle,Ngân hàng TMCP Lộc Phát Việt Nam LPBank,At office,Ha Noi,IT Product,Banking,1000+,Vietnam,Monday - Friday,No OT
2024-08-28 09:21:20.095789,Project Manager,Manager,NULL,Ngân hàng TMCP Lộc Phát Việt Nam LPBank,At office,Ha Noi,IT Product,Banking,1000+,Vietnam,Monday - Friday,No OT
2024-08-28 09:21:20.095789,Java,Spring,Cloud,Integro Technologies,At office,Ha Noi,IT Product,Financial Services,151-300,Vietnam,Monday - Friday,Extra salary for OT
2024-08-28 09:21:20.095789,DevOps,.NET,Networking,AITS | Vietnam Airlines,At office,Ha Noi,IT Outsourcing,IT Services and IT Consulting,301-500,Vietnam,Monday - Friday,No OT
2024-08-28 09:21:20.095789,React Native,TypeScript,Team Leader,Simple Tech Investment,At office,Ho Chi Minh,IT Product,Financial Services,301-500,Vietnam,Monday - Friday,No OT
2024-08-28 09:21:20.095789,JavaScript,HTML5,ReactJS,FORTNA,At office,Ha Noi,IT Product,"Transportation, Logistics and Warehouse",51-150,United States,Monday - Friday,Extra salary for OT
2024-08-28 09:21:20.095789,Python,SQL,English,HRS Group,Hybrid,Ho Chi Minh,IT Product,Software Products and Web Services,51-150,Germany,Monday - Friday,No OT
2024-08-28 09:21:20.095789,Automation Test,QA QC,Tester,Unisofts,At office,Ha Noi,IT Product,"AI, Blockchain and Deep Tech Services",51-150,Vietnam,Monday - Friday,No OT
2024-08-28 09:21:20.095789,.NET,JavaScript,NULL,Bosch Global Software Technologies Company Limited,Hybrid,Ho Chi Minh,IT Product,IT Services and IT Consulting,1000+,Germany,Monday - Friday,No OT
2024-08-28 09:21:20.095789,Software Architect,.NET,Solution Architect,Bosch Global Software Technologies Company Limited,Hybrid,Ho Chi Minh,IT Product,IT Services and IT Consulting,1000+,Germany,Monday - Friday,No OT
2024-08-28 09:21:20.095789,Python,SQL,Data Analyst,ITviec,Hybrid,Ho Chi Minh,IT Product,Software Products and Web Services,51-150,Japan,Monday - Friday,No OT
2024-08-28 09:21:20.095789,Software Architect,English,NULL,Bosch Global Software Technologies Company Limited,At office,Ho Chi Minh,IT Product,IT Services and IT Consulting,1000+,Germany,Monday - Friday,No OT
2024-08-28 09:21:20.095789,Tester,QA QC,Automation Test,Bosch Global Software Technologies Company Limited,At office,Ho Chi Minh,IT Product,IT Services and IT Consulting,1000+,Germany,Monday - Friday,No OT
2024-08-28 09:21:20.095789,ReactJS,JavaScript,Linux,Unisofts,At office,Ha Noi,IT Product,"AI, Blockchain and Deep Tech Services",51-150,Vietnam,Monday - Friday,No OT
2024-08-28 09:21:20.095789,Rust,Linux,Golang,Unisofts,At office,Ha Noi,IT Product,"AI, Blockchain and Deep Tech Services",51-150,Vietnam,Monday - Friday,No OT
2024-08-28 09:21:20.095789,DevOps,Python,Scrum,Bosch Global Software Technologies Company Limited,At office,Ho Chi Minh,IT Product,IT Services and IT Consulting,1000+,Germany,Monday - Friday,No OT
2024-08-28 09:21:20.095789,QA QC,English,Tester,Noveo Vietnam,Hybrid,Ho Chi Minh,IT Outsourcing,Software Development Outsourcing,1-50,France,Monday - Friday,No OT
2024-08-28 09:21:20.095789,Project Manager,Agile,English,Techcombank,At office,Ha Noi,IT Product,Banking,1000+,Vietnam,Monday - Friday,No OT
2024-08-28 09:21:20.095789,Solution Architect,Software Architect,AWS,Techcombank,At office,Ha Noi - Ho Chi Minh,IT Product,Banking,1000+,Vietnam,Monday - Friday,No OT
2024-08-28 09:21:20.095789,NodeJS,JavaScript,ReactJS,6P Capital Management,At office,Ha Noi,IT Product,Financial Services,1-50,Vietnam,Monday - Friday,No OT
2024-08-28 09:21:20.095789,Python,Django,NULL,6P Capital Management,At office,Ha Noi,IT Product,Financial Services,1-50,Vietnam,Monday - Friday,No OT
2024-08-28 09:21:20.095789,Golang,Database,Security,Trusting Social,At office,Ho Chi Minh,IT Service and IT Consulting,Financial Services,301-500,Singapore,Monday - Friday,
2024-08-28 09:21:20.095789,C++,English,Linux,FuelCloud,At office,Ho Chi Minh,IT Product,Software Products and Web Services,1-50,United States,Monday - Friday,No OT
2024-08-28 09:21:20.095789,QA QC,Tester,NULL,Ewoosoft Vietnam,At office,Ha Noi,IT Product,IT Services and IT Consulting,1-50,Vietnam,Monday - Friday,No OT
2024-08-28 09:21:20.095789,Manager,Agile,English,NAB Innovation Centre Vietnam,At office,Ho Chi Minh - Ha Noi,IT Product,Banking,1000+,Australia,Monday - Friday,No OT
2024-08-28 09:21:20.095789,Software Architect,System Engineer,Database,MB Bank,At office,Ha Noi,IT Product,N/A,1000+,Vietnam,Monday - Friday,
