Title,Skill 1,Skill 2,Skill 3,Skill 4,Company,Address 1,Address 2,Post date,Salary
Nhân Viên Chạy Quảng Cáo Facebook Ads,,,,,Công ty TNHH Infoplus,Hà Nội: Nam Từ Liêm,,Đăng 1 tuần trước,Tới 25 triệu
Nhân Viên Tester,Tester,,,,CÔNG TY CỔ PHẦN CÔNG NGHỆ VÀ GIẢI PHÁP KIM THÀNH,Hà Nội: Cầu Giấy,,Đăng 1 tuần trước,7 - 10 triệu
Junior Front-End Developer,,,,,CÔNG TY CỔ PHẦN TẬP ĐOÀN TECHHUB,Hà Nội: Cầu Giấy,,Đăng 1 tuần trước,Tới 13 triệu
Chuyên Viên Kinh Doanh,,,,,CÔNG TY CỔ PHẦN KAOPIZ HOLDINGS,Hà Nội,,Đăng 1 tuần trước,Thoả thuận
Nhân Viên Chăm Sóc Khách Hàng,,,,,Công ty Cổ phần Ahiho,Hà Nội: Thanh Xuân,,Đăng 1 tuần trước,Thoả thuận
Visual (UI) Designer,Designer,,,,TPS Software,Hồ Chí Minh: Tân Bình,,Đăng 1 tuần trước,Thoả thuận
Nhân Viên Content Marketing,,,,,TPS Software,Hồ Chí Minh: Tân Bình,,Đăng 1 tuần trước,Thoả thuận
Backend Developer,,,,,Công ty TNHH 1 thành viên công nghệ và truyền thông 3i,Hà Nội: Thanh Xuân,Hồ Chí Minh: Quận 1,Đăng 1 tuần trước,Thoả thuận
Thực Tập Sinh Marketing,,,,,Công ty Cổ phần Công nghệ KiotViet,Hà Nội: Hoàn Kiếm,,Đăng 1 tuần trước,12 - 18 triệu
Nhân Viên Kinh Doanh,,,,,Công ty cổ phần công nghệ TechWall,Hà Nội: Hoàng Mai,,Đăng 1 tuần trước,10 - 12 triệu
Chuyên Viên IT,,,,,Công ty Cổ Phần Công Nghệ Evotek Việt Nam,Hà Nội: Cầu Giấy,,Đăng 1 tuần trước,Thoả thuận
Chuyên Viên Công Nghệ Thông Tin,,,,,CÔNG TY TRÁCH NHIỆM HỮU HẠN GIẢI PHÁP TOÀN CẦU IIJ VIỆT NAM,Hồ Chí Minh: Quận 1,,Đăng 1 tuần trước,Thoả thuận
Senior Frontend Developer,,,,,CÔNG TY CỔ PHẦN TẬP ĐOÀN CÔNG NGHỆ OMMANI,Hà Nội: Hoàng Mai,,Đăng 1 tuần trước,10 - 20 triệu
Lập Trình Viên .Net,.NET,,,,CÔNG TY CỔ PHẦN MAYCHA,Hồ Chí Minh: Quận 3,,Đăng 1 tuần trước,Thoả thuận
Biên Phiên Dịch Tiếng Nhật,,,,,Công ty Cổ phần Thương mại và Đầu tư Athena Group,Hà Nội: Nam Từ Liêm,,Đăng 1 tuần trước,13 - 17 triệu
Kỹ Sư Cầu Nối (BrSE),,,,,CÔNG TY CỔ PHẦN TẬP ĐOÀN CÔNG NGHỆ OMMANI,Hà Nội: Hoàng Mai,,Đăng 1 tuần trước,30 - 50 triệu
Thực Tập Sinh Video Editor Full-Time,,,,,Công ty Cổ phần Tập đoàn Meey Land,Hà Nội: Đống Đa,,Đăng 1 tuần trước,20 - 40 triệu
Android Developer,Android,,,,Newwave Solutions JSC,Hà Nội: Cầu Giấy,,Đăng 1 tuần trước,Thoả thuận
IT Communicator (Japanese),Japanese,,,,Công ty Cổ phần Tập đoàn Meey Land,Hà Nội: Đống Đa,,Đăng 1 tuần trước,20 - 40 triệu
Nhân Viên Tư Vấn Website,Web,,,,FPT Software,Hồ Chí Minh: Thủ Đức,Hà Nội: Cầu Giấy,Đăng 1 tuần trước,Thoả thuận
Nhân Viên Kinh Doanh,,,,,FPT Software,Hà Nội: Cầu Giấy,Hồ Chí Minh: Thủ Đức,Đăng 1 tuần trước,Thoả thuận
Lập Trình Viên (DevOps),DevOps,,,,CÔNG TY CỔ PHẦN TẬP ĐOÀN CÔNG NGHỆ OMMANI,Hà Nội: Hoàng Mai,,Đăng 1 tuần trước,0.5 - 1 triệu
Lập Trình Viên DEVOPS,DevOps,,,,Công ty TNHH Thương mại và Dịch vụ TSG,Hà Nội: Bắc Từ Liêm,,Đăng 1 tuần trước,Thoả thuận
Java Developer,Java,,,,NTQ Solution,Hà Nội: Nam Từ Liêm,,Đăng 1 tuần trước,Tới 6 triệu
Microsoft Dynamics Technical Consultant,,,,,Công ty TNHH Thương mại và Dịch vụ TSG,Hà Nội: Bắc Từ Liêm,,Đăng 1 tuần trước,3.5 - 4 triệu
Android Developer,Android,,,,CÔNG TY TNHH THƯƠNG MẠI VÀ DỊCH VỤ TSG,Hà Nội: Bắc Từ Liêm,,Đăng 1 tuần trước,3 - 3.5 triệu
SAP Authorization And GRC Specialist,,,,,Công ty TNHH AEGONA,Hồ Chí Minh: Quận 12,,Đăng 1 tuần trước,Thoả thuận
"IT Chuyên Viên Phát Triển Web, Landing, Wordpresss",Wordpress,Web,,,Công ty TNHH AEGONA,Hồ Chí Minh: Quận 12,,Đăng 1 tuần trước,Thoả thuận
Senior Data Analyst,Data Analyst,Data,,,công ty TNHH Godgroup,Bắc Ninh: TP Bắc Ninh,,Đăng 1 tuần trước,10 - 15 triệu
NodeJS Developer (Middle),NodeJS,,,,FPT Software,Hà Nội: Cầu Giấy,Hồ Chí Minh: Thủ Đức,Đăng 1 tuần trước,Thoả thuận
Automation Tester (Junior),Automation Test,Tester,,,CÔNG TY CỔ PHẦN GMO-Z.com RUNSYSTEM,Hà Nội: Đống Đa,,Đăng 1 tuần trước,20 - 40 triệu
Senior Golang Engineer,Golang,,,,EDUPIA,Hà Nội: Thanh Xuân,,Đăng 1 tuần trước,Tới 35 triệu
Reactjs Developer,ReactJS,,,,Difisoft Viet Nam Joint Stock Company,Hà Nội: Thanh Xuân,Hồ Chí Minh: Phú Nhuận,Đăng 1 tuần trước,Thoả thuận
SAP Solution Architect,Solution Architect,,,,Công ty TNHH Dịch vụ công nghệ TP,Hà Nội: Thanh Xuân,,Đăng 1 tuần trước,Thoả thuận
"Android Developer (Java, Kotlin)",Android,Java,Kotlin,,Công Ty TNHH NTT DATA VDS,Hà Nội: Thanh Xuân,,Đăng 1 tuần trước,25 - 32 triệu
Lập Trình Viên PHP Laravel (Junior),Laravel,PHP,,,Công ty TNHH Dịch vụ công nghệ TP,Hà Nội: Thanh Xuân,,Đăng 1 tuần trước,Thoả thuận
CTV Tư Vấn Tuyển Sinh,,,,,CÔNG TY CỔ PHẦN UNITY SPORT,Hồ Chí Minh: Thủ Đức,,Đăng 1 tuần trước,8 - 15 triệu
DE/BI Lead,,,,,FPT IS,Hà Nội: Cầu Giấy,,Đăng 1 tuần trước,Thoả thuận
Natural Language Processing Engineer (NLP),,,,,FPT IS,Hà Nội: Cầu Giấy,,Đăng 1 tuần trước,Thoả thuận
Nhân Viên Business Analyst (Mobile App),Business Analyst,Mobile,,,Công ty Cổ phần Atomi Digital,Hà Nội: Hoàn Kiếm,,Đăng 1 tuần trước,15 - 30 triệu
Flutter Engineer (English Fluency),English,Flutter,,,Tổng Công ty Cổ phần Công trình Viettel,Hà Nội: Cầu Giấy,,Đăng 1 tuần trước,20 - 25 triệu
Chuyên Viên Data Engineer,Data,,,,Công ty TNHH Viettonkin Audit,Hà Nội: Đống Đa,,Đăng 1 tuần trước,3 - 5 triệu
Devops Engineer,DevOps,,,,Công ty Cổ phần Phần mềm Vitex Việt Nam,Hà Nội: Cầu Giấy,,Đăng 1 tuần trước,Thoả thuận
Chuyên Viên Phân Tích Nghiệp Vụ Business Analyst,Business Analyst,,,,CÔNG TY TNHH ENDAVA,Hồ Chí Minh: Tân Bình,,Đăng 1 tuần trước,Thoả thuận
Developer Backend (Java),Java,,,,CÔNG TY TNHH ENDAVA,Hồ Chí Minh: Tân Bình,,Đăng 1 tuần trước,Thoả thuận
"Hồ Chí Minh, Bình Dương",,,,,Latte Games,Hồ Chí Minh: Tân Bình,,Đăng 1 tuần trước,9 - 15 triệu
Cần Thơ & 3 nơi khác,,,,,Công ty cổ phần Công nghệ Windsoft Việt Nam,Hà Nội: Cầu Giấy,,Đăng 1 tuần trước,Thoả thuận
Hồ Chí Minh,,,,,CÔNG TY TNHH GIẢI PHÁP CÔNG NGHỆ SỐ CALLSTACK,Hà Nội: Đống Đa,,Đăng 1 tuần trước,10 - 15 triệu
